CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
    27,     4,      12.927,     288.000,      25.855,       0.979,      26.833,       0.964,       2.076,       0.076,       5.588,       0.207,       0.575,       0.000,       0.000,       0.000,     523.901,      28.906,
  7005,     7,      10.545,     277.000,      21.090,     -13.440,       7.650,       2.757,       0.725,      -1.275,       1.655,      -2.904,       0.181,       0.040,       0.040,       2.166,     503.891,      82.705,
     8,  7006,       4.775,     132.000,       9.550,       2.067,      11.617,       0.822,       2.433,       0.433,       5.280,       0.939,       0.000,       0.000,       0.000,       0.000,     240.121,      24.663,
    25,    22,      10.772,     241.000,      21.544,      -4.577,      16.967,       1.270,       1.575,      -0.425,       4.202,      -1.134,       0.084,       0.000,       0.000,       0.000,     438.403,      38.093,
     3,  7002,       8.039,     162.000,      16.077,       3.056,      19.133,       0.840,       2.380,       0.380,       7.086,       1.132,       0.000,       0.000,       0.000,       0.000,     294.694,      25.208,
     2,  7004,       5.232,     125.000,      10.464,       2.003,      12.467,       0.839,       2.383,       0.383,       5.984,       0.961,       0.000,       0.000,       0.000,       0.000,     227.388,      25.181,
  7001,    25,       7.962,     243.000,      15.924,     -10.691,       5.233,       3.043,       0.657,      -1.343,       1.292,      -2.640,       0.000,       0.000,       0.000,       0.000,     442.041,      91.283,
  7003,    27,       9.852,     289.000,      19.705,     -12.838,       6.867,       2.870,       0.697,      -1.303,       1.426,      -2.665,       0.000,       0.000,       0.000,       0.000,     525.720,      86.088,
    49,    42,      14.885,     128.000,      29.770,       2.064,      31.833,       0.935,       2.139,       0.139,      14.884,       0.983,       0.037,       0.000,       0.000,       0.000,     232.845,      28.055,
  7007,    45,      17.499,     177.000,      34.998,     -12.564,      22.433,       1.560,       1.282,      -0.718,       7.605,      -4.259,       0.014,       0.000,       0.000,       0.000,     321.981,      46.802,
    44,  7008,       3.323,     107.000,       6.647,       0.620,       7.267,       0.915,       2.186,       0.186,       4.075,       0.347,       0.000,       0.000,       0.000,       0.000,     194.644,      27.442,
  7009,    43,      17.543,     211.000,      35.087,     -12.853,      22.233,       1.578,       1.267,      -0.733,       6.311,      -3.652,       0.004,       0.000,       0.000,       0.000,     383.830,      47.343,
    42,  7010,       7.273,     128.000,      14.545,       1.271,      15.817,       0.920,       2.175,       0.175,       7.414,       0.596,       0.000,       0.000,       0.000,       0.000,     232.845,      27.589,
    45,    47,      12.424,     174.000,      24.848,       1.736,      26.583,       0.935,       2.140,       0.140,       9.113,       0.611,       0.125,       0.068,       0.045,       4.598,     316.523,      28.041,
    50,    47,      14.533,     203.000,      29.066,       9.751,      38.817,       0.749,       2.671,       0.671,      11.386,       2.915,       1.644,       1.133,       0.919,      33.990,     369.277,      22.464,
    53,    49,       9.139,     128.000,      18.279,       3.005,      21.283,       0.859,       2.329,       0.329,       9.977,       1.408,       0.005,       0.000,       0.000,       0.000,     232.845,      25.765,
    53,    44,       7.194,     107.000,      14.388,       2.478,      16.867,       0.853,       2.345,       0.345,       9.458,       1.390,       0.008,       0.000,       0.000,       0.000,     194.644,      25.592,
    43,    50,      24.304,     209.000,      48.608,       2.242,      50.850,       0.956,       2.092,       0.092,      14.443,       0.644,       0.068,       0.000,       0.000,       0.000,     380.192,      28.677,
    46,    47,     513.116,    1654.000,    1026.232,     158.685,    1184.917,       0.866,       2.309,       0.309,      42.508,       5.652,       1.509,       0.074,       0.056,       3.748,    3008.792,      25.982,
    53,    46,     311.278,    1004.000,     622.556,      69.527,     692.083,       0.900,       2.223,       0.223,      40.897,       4.165,       0.000,       0.374,       0.294,       0.000,    1826.377,      26.986,
    54,    53,      64.114,    1240.000,     128.227,    1261.139,    1389.367,       0.092,      21.670,      19.670,      66.129,      60.057,      27.769,      49.390,      39.282,      67.984,    2255.685,       2.769,
    47,    54,     104.627,    2031.000,     209.255,      39.529,     248.783,       0.841,       2.378,       0.378,       7.332,       1.171,       0.000,       0.021,       0.014,       0.000,    3694.593,      25.233,
    59,    60,      14.924,     985.000,      29.848,       1.368,      31.217,       0.956,       2.092,       0.092,       1.901,       0.086,       0.001,       0.000,       0.000,       0.000,    1791.814,      28.685,
    58,    57,      21.630,    1376.000,      43.261,       2.939,      46.200,       0.936,       2.136,       0.136,       2.015,       0.132,       0.003,       0.000,       0.000,       0.000,    2503.082,      28.091,
  7011,    88,      10.292,     247.000,      20.583,     -12.400,       8.183,       2.515,       0.795,      -1.205,       1.988,      -3.012,       0.186,       0.000,       0.000,       0.000,     449.318,      75.458,
    87,  7012,       1.261,      60.000,       2.523,       0.844,       3.367,       0.749,       2.669,       0.669,       3.367,       0.844,       0.000,       0.000,       0.000,       0.000,     109.146,      22.480,
  7013,    84,       7.679,     265.000,      15.358,     -10.325,       5.033,       3.051,       0.655,      -1.345,       1.140,      -2.338,       0.000,       0.000,       0.000,       0.000,     482.062,      91.537,
    81,  7014,      13.344,     671.000,      26.688,      17.646,      44.333,       0.602,       3.322,       1.322,       3.960,       1.577,       0.000,       0.001,       0.001,       0.000,    1220.616,      18.059,
  7015,    83,      24.545,     216.000,      49.091,       0.809,      49.900,       0.984,       2.033,       0.033,      13.703,       0.194,       1.533,       0.000,       0.000,       0.000,     392.926,      29.514,
   109,    85,      29.431,     267.000,      58.861,       1.422,      60.283,       0.976,       2.048,       0.048,      13.547,       0.320,       0.241,       0.000,       0.000,       0.000,     485.700,      29.292,
    85,   100,       6.068,     267.000,      12.136,       2.547,      14.683,       0.827,       2.420,       0.420,       3.300,       0.572,       0.228,       0.172,       0.131,       8.240,     485.700,      24.796,
    88,   100,       5.753,     249.000,      11.507,      -1.740,       9.767,       1.178,       1.698,      -0.302,       2.353,      -0.419,       0.010,       0.004,       0.004,       0.402,     452.956,      35.345,
   100,    60,      59.940,     623.000,     119.880,      56.303,     176.183,       0.680,       2.939,       0.939,      16.906,       5.408,       2.717,       0.005,       0.002,       0.000,    1133.300,      20.413,
    59,    92,       9.619,     110.000,      19.238,       5.978,      25.217,       0.763,       2.622,       0.622,      13.637,       3.210,       1.176,       0.000,       0.000,       0.000,     200.101,      22.888,
    92,    87,       0.841,      60.000,       1.682,       0.768,       2.450,       0.686,       2.914,       0.914,       2.450,       0.768,       0.000,       0.000,       0.000,       0.000,     109.146,      20.594,
    84,    57,      21.750,     261.000,      43.500,       9.350,      52.850,       0.823,       2.430,       0.430,      12.060,       2.135,       1.877,       0.000,       0.000,       0.000,     474.785,      24.693,
    83,    57,      18.573,     216.000,      37.145,      17.138,      54.283,       0.684,       2.923,       0.923,      15.065,       4.757,       1.685,       0.000,       0.000,       0.000,     392.926,      20.529,
    58,    91,      19.533,     272.000,      39.066,       7.284,      46.350,       0.843,       2.373,       0.373,      10.224,       1.607,       0.069,       0.000,       0.000,       0.000,     494.795,      25.286,
   101,    90,       1.028,      67.000,       2.056,      -0.006,       2.050,       1.003,       1.994,      -0.006,       1.824,       0.010,       0.000,       0.000,       0.000,       0.000,     121.880,      30.083,
    91,   101,       1.609,     137.000,       3.217,       0.316,       3.533,       0.911,       2.196,       0.196,       1.547,       0.138,       0.156,       0.000,       0.000,       0.000,     249.217,      27.318,
    91,    82,       1.752,     136.000,       3.503,       0.830,       4.333,       0.808,       2.474,       0.474,       1.912,       0.366,       0.013,       0.015,       0.007,       0.735,     247.398,      24.252,
    90,    94,       2.855,      67.000,       5.710,      -0.010,       5.700,       1.002,       1.996,      -0.004,       5.104,      -0.009,       0.000,       0.000,       0.000,       0.000,     121.880,      30.054,
   101,    81,       0.941,      69.000,       1.882,       0.618,       2.500,       0.753,       2.657,       0.657,       2.174,       0.538,       0.514,       0.000,       0.000,       0.000,     125.518,      22.582,
    94,    89,      46.574,    1171.000,      93.148,      91.769,     184.917,       0.504,       3.970,       1.970,       9.446,       4.688,       0.131,       0.087,       0.000,       0.000,    2130.167,      15.112,
